,User,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
0,BBC,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",Sat Jun 09 20:04:00 +0000 2018,0.0,0.0,1.0,0.0,1
1,BBC,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine… https://t.co/YauZn2kit4",Sat Jun 09 19:02:05 +0000 2018,0.3612,0.122,0.878,0.0,2
2,BBC,"The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance,… https://t.co/c82OxTDXfI",Sat Jun 09 18:04:03 +0000 2018,0.0,0.0,1.0,0.0,3
3,BBC,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",Sat Jun 09 17:01:05 +0000 2018,0.5719,0.171,0.829,0.0,4
4,BBC,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",Sat Jun 09 16:04:03 +0000 2018,0.4019,0.222,0.623,0.156,5
5,BBC,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,Sat Jun 09 15:02:02 +0000 2018,-0.7783,0.0,0.673,0.327,6
6,BBC,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,Sat Jun 09 14:04:02 +0000 2018,0.7717,0.528,0.472,0.0,7
7,BBC,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",Sat Jun 09 13:24:03 +0000 2018,0.0,0.0,1.0,0.0,8
8,BBC,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",Sat Jun 09 13:03:06 +0000 2018,0.0,0.0,1.0,0.0,9
9,BBC,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,Sat Jun 09 12:23:25 +0000 2018,0.0,0.0,1.0,0.0,10
10,BBC,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,Sat Jun 09 12:03:00 +0000 2018,0.8986,0.577,0.423,0.0,11
11,BBC,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,Sat Jun 09 11:10:52 +0000 2018,0.0,0.0,1.0,0.0,12
12,BBC,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",Sat Jun 09 11:04:08 +0000 2018,-0.8402,0.0,0.667,0.333,13
13,BBC,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",Sat Jun 09 10:10:06 +0000 2018,0.0,0.0,1.0,0.0,14
14,BBC,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",Sat Jun 09 10:09:40 +0000 2018,-0.6808,0.051,0.73,0.219,15
15,BBC,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",Sat Jun 09 08:55:42 +0000 2018,0.7717,0.268,0.732,0.0,16
16,BBC,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",Sat Jun 09 08:54:21 +0000 2018,0.6239,0.194,0.806,0.0,17
17,BBC,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,Sat Jun 09 08:53:14 +0000 2018,0.0,0.0,1.0,0.0,18
18,BBC,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",Sat Jun 09 08:52:54 +0000 2018,0.7579,0.245,0.755,0.0,19
19,BBC,RT @BBCArtsPR: Our very own @wmarybeard has received a damehood in the Queen's birthday honours list - congratulations Mary! @bbcarts @BBCF…,Sat Jun 09 08:52:46 +0000 2018,0.8122,0.303,0.697,0.0,20
20,BBC,RT @bbcarts: Women across Britain raise banners for suffrage &amp; what it means to be a C21st woman. See selection of brilliant banners prior…,Sat Jun 09 08:52:33 +0000 2018,0.5859,0.147,0.853,0.0,21
21,BBC,"RT @BBCEngland: Britain's longest-serving poppy seller, 103-year-old Rosemary Powell, has been appointed an MBE in the Queen's birthday hon…",Sat Jun 09 08:50:01 +0000 2018,0.0,0.0,1.0,0.0,22
22,BBC,"🇬🇧 @huwbbc introduces live coverage of the military parade to mark the official birthday of HM the Queen. 

Troopin… https://t.co/y1b6OpOoey",Sat Jun 09 08:32:05 +0000 2018,0.0,0.0,1.0,0.0,23
23,BBC,"The charming and beautiful films of Lotte Reiniger, forgotten pioneer of animation. https://t.co/T2N7eLjHKh",Sat Jun 09 07:28:04 +0000 2018,0.7783,0.393,0.51,0.097,24
